;;;;;;;0
3;0;-1,76;0;20,45;10;90,6;1212
4;0;-1,91;0;40,89;10;90,6;1216
3;0;-1,92;0;20,45;10;90,6;1219
3;0;-1,86;0;40,39;10;90,6;1222
3;0;-1,9;0;19,95;10;90,6;1225
3;0;-1,96;0;40,39;10;90,6;1228
4;0;-1,9;0;19,95;10;90,6;1232
3;0;-1,87;0;40,39;10;90,6;1235
3;0;-2;0;19,95;10;90,6;1238
3;0;-1,89;0;39,89;10;90,6;1241
3;0;-1,49;0;40,89;10;91,8;1244
3;0;-1,44;0;20,94;10;91,8;1247
3;0;-1,36;0;41,89;10;91,8;1250
3;0;-1,34;0;20,45;10;91,8;1253
4;0;-1,45;0;41,89;10;91,8;1257
3;0;-1,33;0;19,45;10;91,8;1260
3;0;-1,41;0;39,39;10;91,8;1263
3;0;-1,49;0;19,95;10;91,8;1266
3;0;-1,47;0;40,39;10;91,8;1269
4;0;-1,36;0;20,45;10;91,8;1273
3;0;-1,41;0;41,39;10;91,8;1276
3;0;-1,5;0;20,94;10;91,8;1279
3;0;-1,44;0;20,45;10;91,8;1282
4;0;-1,4;0;40,39;10;91,8;1286
3;0;-1,5;0;39,39;10;91,8;1289
3;0;-1,56;0;19,95;10;91,8;1292
3;0;-1,51;0;39,89;10;91,8;1295
3;0;-1,34;0;40,39;10;91,8;1298
4;0;-1,07;0;40,89;10;90,4;1302
3;0;-1,03;0;19,95;10;90,4;1305
3;0;-0,98;0;40,39;10;90,4;1308
3;0;-1,04;0;19,45;10;90,4;1311
3;0;-1;0;39,39;10;90,4;1314
4;0;-0,99;0;19,95;10;90,4;1318
3;0;-1,07;0;39,89;10;90,4;1321
3;0;-1;0;20,45;10;90,4;1324
3;0;-1,02;0;40,89;10;90,4;1327
3;0;-1;0;20,45;10;90,4;1330
4;0;-1,02;0;41,39;10;90,4;1334
3;0;-1,15;0;20,45;10;90,4;1337
3;0;-1,17;0;41,39;10;90,4;1340
3;0;-1,22;0;21,94;10;90,4;1343
3;0;-1,4;0;40,39;10;90,4;1346
4;0;-1,43;0;20,45;10;90,4;1350
3;0;-1,46;0;41,39;10;90,4;1353
3;0;-1,47;0;20,45;10;90,4;1356
3;0;-1,48;0;40,89;10;90,4;1359
3;0;-1,57;0;19,95;10;90,4;1362
3;0;-1,55;0;39,39;10;90,4;1365
3;0;-1,46;0;19,95;10;90,4;1368
4;0;-1,26;0;42,39;10;91,8;1372
3;0;-1,18;0;18,95;10;91,8;1375
3;0;-1,2;0;38,4;10;91,8;1378
3;0;-1,27;0;19,45;10;91,8;1381
3;0;-1,18;0;37,9;10;91,8;1384
3;0;-1,11;0;18,95;10;91,8;1387
4;0;-1,14;0;37,9;10;91,8;1391
3;0;-1,16;0;19,45;10;91,8;1394
3;0;-1,19;0;39,89;10;91,8;1397
3;0;-1,24;0;19,95;10;91,8;1400
3;0;-1,24;0;39,89;10;91,8;1403
4;0;-1,11;0;20,94;10;91,8;1407
3;0;-1,14;0;41,39;10;91,8;1410
3;0;-1,2;0;20,45;10;91,8;1413
3;0;-1,17;0;41,39;10;91,8;1416
4;0;-1,18;0;19,95;10;91,8;1420
3;0;-1,19;0;40,39;10;91,8;1423
3;0;-1,25;0;19,95;10;91,8;1426
3;0;-1,28;0;39,89;10;91,8;1429
3;0;-1,1;0;19,95;10;91,8;1432
4;0;-1,2;0;40,39;10;91,8;1436
3;0;-1,29;0;19,45;10;91,8;1439
