Robot;Delta_muestra;Input_d;d_ref;vel_ref;Input_vel;Input_theta;Output_d;Output_vel;Output_theta;;;;
L;40;4.1;80;0;-0.13;-0.13;0;-53.2;1023;0;15;0;1
T;40;10.2;10;0;0.03;0;0;0;0;0;15;0;1
S;40;10.3;10;0;0;0;0;0;0;0;15;0;1
L;40;7.1;80;0;-0.09;-0.14;0;-53.5;1023;0;15;0;1
T;40;10.1;10;0;0.02;0;0;0;0;0;15;0;1
S;40;10.1;10;0;0;0;0;0;0;0;15;0;1
L;40;80;80;0;-0.01;-0.13;0;-55.03;1023;0;15;0;1
T;40;10.7;10;0;0.02;0;0;0;0;0;15;0;1
S;40;8.8;10;-1;0;0;-1;-26.15;-1.96;0;15;0;1
L;40;80;80;0;0.06;-0.17;0;-56.73;1023;0;15;0;1
T;40;10.2;10;0;0.01;0;0;0;0;0;15;0;1
S;40;10.2;10;0.8;0;0.02;0.8;15.04;-76.17;0;15;0;1
L;40;74.1;80;0;0.14;-0.14;0;-59.23;1023;0;15;0;1
T;40;10.1;10;0;0.01;0;0;0;0;0;15;0;1
S;40;11.4;10;1;0.1;0;1;22.25;20.08;0;15;0;1
L;40;80;80;0;0.05;-0.12;0;-57.83;1023;0;15;0;1
T;40;10.2;10;0;0.01;0.01;0;0;0;0;15;0;1
S;40;9;10;-1;0.2;0;-1;-27.39;-6.11;0;15;0;1
L;40;80;80;0;0.07;-0.16;0;-58.48;1023;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;9.8;10;-0.8;0.09;0.02;-0.8;-26.16;-64.02;0;15;0;1
L;40;75;80;0;0.08;-0.14;0;-59.12;1023;0;15;0;1
T;40;10.4;10;0;0;0;0;0;0;0;15;0;1
S;40;11.1;10;1;0.06;0.02;1;16.38;-45.94;0;15;0;1
L;40;80;80;0;0.21;-0.11;0;-63.17;1023;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;11.4;10;1;0.05;0;1;22.27;15.22;0;15;0;1
L;40;42.4;80;0;0.36;-0.11;0;-68.08;1023;0;15;0;1
T;40;10.2;10;0;0;0;0;0;0;0;15;0;1
S;40;7.2;10;-1;0.09;0;-1;-25.69;-12.94;0;15;0;1
L;40;80;80;0;1.03;-0.05;0;-26.97;187.57;0;15;0;1
T;40;10.2;10;0;0;0.01;0;0;0;0;15;0;1
S;40;6.4;10;-1;0;0.01;-1;-29.71;-60.82;0;15;0;1
L;40;4.3;80;0;0.53;-0.14;0;-19.81;464.05;0;15;0;1
T;40;10;10;0;0;0.01;0;0;0;0;15;0;1
S;40;5.6;10;-1;-0.02;0.02;-1;-34.83;-60.62;0;15;0;1
L;40;2;80;0;0.21;-0.08;0;-14.54;99.1;0;15;0;1
