Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,40,6.80,19.20,10.00,9.86,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,10.26,10.30,1,0.00,0.00,0.00,0.00,10.07,0.00,1
L,40,7.30,19.20,10.00,10.26,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,10.29,10.21,1,0.00,0.00,0.00,0.00,10.16,0.00,1
L,40,80.00,19.20,10.00,10.03,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.30,15.00,10.72,10.28,1,0.00,0.00,0.00,0.00,10.16,0.00,1
L,40,80.00,19.20,10.00,9.93,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,10.35,10.39,1,0.00,0.00,0.00,0.00,9.97,0.00,1
L,40,12.60,19.20,10.00,9.92,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.90,15.00,9.14,10.41,1,0.00,0.00,0.00,0.00,9.97,0.00,1
L,40,8.30,19.20,10.00,9.83,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.30,15.00,10.77,10.35,1,0.00,0.00,0.00,0.00,9.97,0.00,1
L,40,4.50,19.20,10.00,9.90,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.00,15.00,9.57,10.30,1,0.00,0.00,0.00,0.00,9.91,0.00,1
L,40,8.80,19.20,10.00,9.89,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,10.40,10.20,1,0.00,0.00,0.00,0.00,9.91,0.00,1
L,40,10.00,19.20,10.00,9.96,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.90,15.00,9.18,9.98,1,0.00,0.00,0.00,0.00,9.86,0.00,1
L,40,12.00,19.20,10.00,10.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,10.41,9.93,1,0.00,0.00,0.00,0.00,9.86,0.00,1
L,40,80.00,19.20,10.00,9.89,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.00,15.00,9.61,9.89,1,0.00,0.00,0.00,0.00,9.86,0.00,1
L,40,80.00,19.20,10.00,9.30,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.30,15.00,10.84,9.90,1,0.00,0.00,0.00,0.00,9.86,0.00,1
L,40,80.00,19.20,10.00,9.86,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.80,15.00,8.82,11.00,1,0.00,0.00,0.00,0.00,9.86,0.00,1
L,40,80.00,19.20,10.00,9.92,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.00,15.00,9.62,9.66,1,0.00,0.00,0.00,0.00,10.09,0.00,1
L,40,14.50,19.20,10.00,10.38,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.50,15.00,11.68,9.77,1,0.00,0.00,0.00,0.00,10.09,0.00,1
L,40,18.10,19.20,10.00,11.02,1,0.00,0.00,0.01,0.01,15.00,0.00,0
R,40,15.60,15.00,12.15,10.27,1,0.00,0.00,0.00,0.00,10.09,0.00,1
L,40,26.60,19.20,10.00,10.24,1,0.00,0.00,0.01,0.01,15.00,0.00,0
R,40,15.40,15.00,11.40,10.70,1,0.00,0.00,0.00,0.00,10.34,0.01,1
L,40,29.30,19.20,10.00,10.24,1,0.00,0.00,0.01,0.01,15.00,0.00,0
R,40,15.50,15.00,11.86,10.72,1,0.00,0.00,0.00,0.00,10.34,0.01,1
L,40,32.80,19.20,10.00,10.08,1,0.00,0.00,0.01,0.01,15.00,0.00,0
R,40,15.30,15.00,11.10,10.89,1,0.00,0.00,0.00,0.00,10.15,0.01,1
L,40,37.10,19.20,10.00,10.07,1,0.00,0.00,0.01,0.01,15.00,0.00,0
R,40,15.60,15.00,12.37,11.02,1,0.00,0.00,0.00,0.00,10.15,0.01,1
L,40,35.80,19.20,10.00,10.03,1,0.00,0.00,0.01,0.01,15.00,0.00,0
R,40,15.50,15.00,12.03,11.10,1,0.00,0.00,0.00,0.00,10.15,0.01,1
L,40,35.50,19.20,10.00,10.05,1,0.00,0.00,0.01,0.01,15.00,0.00,0
R,40,15.30,15.00,11.26,11.21,1,0.00,0.00,0.00,0.00,10.11,0.01,1
L,40,33.10,19.20,10.00,10.31,1,0.00,0.00,0.01,0.01,15.00,0.00,0
R,40,14.90,15.00,9.65,11.32,1,0.00,0.00,0.00,0.00,10.11,0.01,1
L,40,32.00,19.20,10.00,9.79,1,0.00,0.00,0.01,0.01,15.00,0.00,0
R,40,15.10,15.00,10.46,10.76,1,0.00,0.00,0.00,0.00,9.99,0.01,1
L,40,32.00,19.20,10.00,9.95,1,0.03,0.00,0.01,0.03,15.00,0.00,0
R,40,15.20,15.00,10.89,10.82,1,0.00,0.00,0.00,0.00,9.99,0.01,1
L,40,29.60,19.20,10.00,9.94,1,0.03,0.00,0.01,0.03,15.00,0.00,0
R,40,15.00,15.00,10.09,11.48,1,0.00,0.00,0.00,0.00,9.99,0.03,0
L,40,28.00,19.20,10.00,10.47,1,0.03,0.00,0.01,0.03,15.00,0.00,0
R,40,15.20,15.00,10.91,10.75,1,0.00,0.00,0.00,0.00,9.99,0.03,0
L,40,27.10,19.20,10.00,9.93,1,0.03,0.00,0.01,0.03,15.00,0.00,0
R,40,14.90,15.00,9.70,10.93,1,0.00,0.00,0.00,0.00,9.99,0.03,0
L,40,27.30,19.20,10.00,10.06,1,0.03,0.00,0.01,0.03,15.00,0.00,0
R,40,15.10,15.00,10.51,10.75,1,0.00,0.00,0.00,0.00,10.04,0.03,0
L,40,27.80,19.20,10.00,10.00,1,0.03,0.00,0.01,0.03,15.00,0.00,0
R,40,15.00,15.00,10.11,10.35,1,0.00,0.00,0.00,0.00,10.04,0.03,0
L,40,28.80,19.20,10.00,10.09,1,0.03,0.00,0.01,0.03,15.00,0.00,0
R,40,15.10,15.00,10.52,10.26,1,0.00,0.00,0.00,0.00,10.09,0.03,0
L,40,29.30,19.20,10.00,10.20,1,0.03,0.00,0.01,0.03,15.00,0.00,0
R,40,14.70,15.00,8.89,10.23,1,0.00,0.00,0.00,0.00,10.09,0.03,0
L,40,31.40,19.20,10.00,9.99,1,0.03,0.05,0.01,0.05,15.00,0.00,0
R,40,15.00,15.00,10.09,10.10,1,0.00,0.00,0.00,0.00,10.09,0.03,0
L,40,37.00,19.20,10.00,10.01,1,0.03,0.05,0.01,0.05,15.00,0.00,0
R,40,15.20,15.00,10.91,9.95,1,0.00,0.00,0.00,0.00,10.00,0.05,0
L,40,39.90,19.20,10.00,10.12,1,0.03,0.05,0.01,0.05,15.00,0.00,0
