Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,40,53.00,61.50,10.00,10.30,1,0.00,0.01,0.02,0.02,15.00,0.00,0
S,40,12.80,11.50,13.01,10.70,1,0.00,0.00,0.00,0.00,10.67,0.01,1
L,40,52.40,61.50,10.00,10.27,1,0.00,0.01,0.02,0.02,15.00,0.00,0
S,40,12.30,11.50,10.64,10.96,1,0.00,0.00,0.00,0.00,10.64,0.02,0
L,40,52.70,61.50,10.00,10.27,1,0.00,0.01,0.02,0.02,15.00,0.00,0
S,40,12.20,11.50,10.64,11.28,1,0.00,0.00,0.00,0.00,10.64,0.02,0
L,40,53.10,61.50,10.00,10.15,1,0.00,0.01,0.02,0.02,15.00,0.00,0
S,40,12.50,11.50,10.64,11.17,1,0.00,0.00,0.00,0.00,10.64,0.02,0
L,42,52.50,61.50,10.00,9.34,1,0.00,0.01,0.02,0.02,15.00,0.00,0
S,40,12.20,11.50,9.34,11.11,1,0.00,0.00,0.00,0.00,9.34,0.02,0
L,40,53.50,61.50,10.00,10.31,1,0.00,0.01,0.02,0.02,15.00,0.00,0
S,40,12.20,11.50,9.34,10.81,1,0.00,0.00,0.00,0.00,9.34,0.02,0
L,40,53.50,61.50,10.00,9.90,1,0.00,0.01,0.02,0.02,15.00,0.00,0
S,40,12.20,11.50,10.70,10.42,1,0.00,0.00,0.00,0.00,10.70,0.02,0
L,40,52.70,61.50,10.00,10.12,1,0.00,0.01,0.02,0.02,15.00,0.00,0
L,40,53.80,61.50,10.00,10.14,1,0.00,0.01,0.02,0.02,15.00,0.00,0
S,40,12.50,11.50,10.70,10.19,1,0.00,0.00,0.00,0.00,10.70,0.02,0
S,40,12.60,11.50,10.70,10.14,1,0.00,0.00,0.00,0.00,10.70,0.02,0
L,40,54.00,61.50,10.00,10.20,1,0.04,0.01,0.02,0.04,15.00,0.00,0
S,40,12.70,11.50,10.28,10.30,1,0.00,0.00,0.00,0.00,10.28,0.02,0
L,40,54.00,61.50,10.00,10.11,1,0.04,0.01,0.02,0.04,15.00,0.00,0
S,40,12.00,11.50,10.28,10.61,1,0.00,0.00,0.00,0.00,10.28,0.02,0
L,40,53.10,61.50,10.00,10.15,1,0.04,0.01,0.02,0.04,15.00,0.00,0
S,40,11.80,11.50,10.14,10.24,1,0.00,0.00,0.00,0.00,10.14,0.04,0
L,40,53.90,61.50,10.00,10.08,1,0.04,0.01,0.02,0.04,15.00,0.00,0
S,40,12.30,11.50,10.14,10.23,1,0.00,0.00,0.00,0.00,10.14,0.04,0
L,40,51.80,61.50,10.00,10.01,1,0.04,0.01,0.02,0.04,15.00,0.00,0
S,40,12.50,11.50,10.14,10.16,1,0.00,0.00,0.00,0.00,10.14,0.04,0
L,40,52.10,61.50,10.00,10.03,1,0.04,0.01,0.02,0.04,15.00,0.00,0
S,40,12.50,11.50,10.08,10.37,1,0.00,0.00,0.00,0.00,10.08,0.04,0
L,40,51.00,61.50,10.00,9.97,1,0.04,0.01,0.02,0.04,15.00,0.00,0
S,40,12.30,11.50,10.08,11.04,1,0.00,0.00,0.00,0.00,10.08,0.04,0
L,40,51.00,61.50,10.00,9.93,1,0.04,0.01,0.02,0.04,15.00,0.00,0
S,40,12.40,11.50,9.92,10.35,1,0.00,0.00,0.00,0.00,9.92,0.04,0
L,40,51.10,61.50,10.00,9.92,1,0.04,0.06,0.02,0.06,15.00,0.00,0
S,40,12.90,11.50,9.92,10.41,1,0.00,0.00,0.00,0.00,9.92,0.04,0
L,40,51.10,61.50,10.00,9.85,1,0.04,0.06,0.02,0.06,15.00,0.00,0
S,40,13.20,11.50,9.91,10.18,1,0.00,0.00,0.00,0.00,9.91,0.06,0
L,40,49.90,61.50,10.00,9.90,1,0.04,0.06,0.02,0.06,15.00,0.00,0
S,40,13.50,11.50,9.91,10.07,1,0.00,0.00,0.00,0.00,9.91,0.06,0
L,40,51.10,61.50,10.00,9.94,1,0.04,0.06,0.02,0.06,15.00,0.00,0
S,40,14.10,11.50,9.91,9.99,1,0.00,0.00,0.00,0.00,9.91,0.06,0
L,40,51.40,61.50,10.00,10.04,1,0.04,0.06,0.02,0.06,15.00,0.00,0
S,40,14.30,11.50,9.86,10.00,1,0.00,0.00,0.00,0.00,9.86,0.06,0
L,40,51.40,61.50,10.00,10.00,1,0.04,0.06,0.02,0.06,15.00,0.00,0
S,40,14.80,11.50,9.86,9.98,1,0.00,0.00,0.00,0.00,9.86,0.06,0
L,40,52.50,61.50,10.00,9.99,1,0.04,0.06,0.02,0.06,15.00,0.00,0
S,40,15.70,11.50,10.02,9.85,1,0.00,0.00,0.00,0.00,10.02,0.06,0
L,40,53.90,61.50,10.00,9.97,1,0.04,0.06,0.02,0.06,15.00,0.00,0
S,40,16.20,11.50,10.02,9.94,1,0.00,0.00,0.00,0.00,10.02,0.06,0
L,40,53.50,61.50,10.00,10.03,0,0.04,0.06,0.07,0.04,15.00,0.00,0
S,40,16.60,11.50,10.02,10.06,1,0.00,0.00,0.00,0.00,10.02,0.06,0
L,40,56.30,61.50,10.00,10.12,0,0.04,0.06,0.07,0.04,15.00,0.00,0
S,40,16.80,11.50,10.09,9.93,1,0.00,0.00,0.00,0.00,10.09,0.04,0
L,40,57.70,61.50,10.00,10.28,0,0.04,0.06,0.07,0.04,15.00,0.00,0
S,40,18.20,11.50,10.09,9.87,1,0.00,0.00,0.00,0.00,10.09,0.04,0
L,40,58.90,61.50,10.00,10.26,0,0.04,0.06,0.07,0.04,15.00,0.00,0
S,40,19.30,11.50,10.12,9.83,1,0.00,0.00,0.00,0.00,10.12,0.04,0
L,40,59.10,61.50,10.00,10.32,0,0.04,0.06,0.07,0.04,15.00,0.00,0
S,40,25.80,11.50,10.12,9.81,1,0.00,0.00,0.00,0.00,10.12,0.04,0
L,40,59.20,61.50,10.00,10.01,0,0.04,0.06,0.07,0.04,15.00,0.00,0
S,40,31.20,11.50,10.12,9.89,1,0.00,0.00,0.00,0.00,10.12,0.04,0
L,40,60.10,61.50,10.00,9.97,0,0.04,0.06,0.07,0.04,15.00,0.00,0
S,40,36.30,11.50,9.98,10.00,1,0.00,0.00,0.00,0.00,9.98,0.04,0
L,40,61.80,61.50,10.00,10.04,0,0.04,0.06,0.07,0.04,15.00,0.00,0
S,40,48.80,11.50,9.98,10.00,1,0.00,0.00,0.00,0.00,9.98,0.04,0
L,40,62.60,61.50,10.00,10.07,0,0.04,0.06,0.07,0.04,15.00,0.00,0
S,40,53.20,11.50,10.03,9.95,1,0.00,0.00,0.00,0.00,10.03,0.06,0
L,40,60.70,61.50,10.00,10.01,0,0.07,0.06,0.07,0.06,15.00,0.00,0
S,40,55.60,11.50,10.03,10.01,1,0.00,0.00,0.00,0.00,10.03,0.06,0
L,40,63.70,61.50,10.00,10.05,0,0.07,0.06,0.07,0.06,15.00,0.00,0
S,40,59.30,11.50,10.03,9.99,1,0.00,0.00,0.00,0.00,10.03,0.06,0
L,40,67.20,61.50,10.00,9.95,0,0.07,0.06,0.07,0.06,15.00,0.00,0
S,40,58.90,11.50,9.95,10.05,1,0.00,0.00,0.00,0.00,9.95,0.06,0
L,40,72.50,61.50,10.00,9.93,0,0.07,0.06,0.07,0.06,15.00,0.00,0
S,40,59.30,11.50,9.95,10.06,1,0.00,0.00,0.00,0.00,9.95,0.06,0
L,40,79.70,61.50,10.00,9.92,0,0.07,0.06,0.07,0.06,15.00,0.00,0
S,40,58.90,11.50,9.91,9.95,1,0.00,0.00,0.00,0.00,9.91,0.06,0
L,40,77.00,61.50,10.00,9.91,0,0.07,0.06,0.07,0.06,15.00,0.00,0
S,40,57.90,11.50,9.91,9.91,1,0.00,0.00,0.00,0.00,9.91,0.06,0
L,40,80.00,61.50,10.00,9.93,0,0.07,0.06,0.07,0.06,15.00,0.00,0
S,40,58.70,11.50,9.91,9.89,1,0.00,0.00,0.00,0.00,9.91,0.06,0
L,40,80.00,61.50,10.00,9.96,0,0.07,0.06,0.07,0.06,15.00,0.00,0
S,40,59.10,11.50,10.00,9.93,1,0.00,0.00,0.00,0.00,10.00,0.06,0
L,40,80.00,61.50,10.00,10.02,0,0.07,0.07,0.07,0.07,15.00,0.00,0
S,40,59.30,11.50,10.00,9.89,1,0.00,0.00,0.00,0.00,10.00,0.06,0
L,40,80.00,61.50,10.00,10.07,0,0.07,0.07,0.07,0.07,15.00,0.00,0
L,40,80.00,61.50,10.00,10.07,0,0.07,0.07,0.07,0.07,15.00,0.00,0
S,41,58.20,11.50,10.11,9.90,1,0.00,0.00,0.00,0.00,10.11,0.07,0
S,40,57.80,11.50,10.11,9.90,1,0.00,0.00,0.00,0.00,10.11,0.07,0
L,40,80.00,61.50,10.00,9.94,0,0.07,0.07,0.07,0.07,15.00,0.00,0
S,40,58.60,11.50,10.29,9.99,1,0.00,0.00,0.00,0.00,10.29,0.07,0
L,40,80.00,61.50,10.00,10.01,0,0.07,0.07,0.07,0.07,15.00,0.00,0
S,40,57.60,11.50,10.29,10.09,1,0.00,0.00,0.00,0.00,10.29,0.07,0
L,40,80.00,61.50,10.00,10.01,0,0.07,0.07,0.07,0.07,15.00,0.00,0
S,40,58.10,11.50,10.29,10.20,1,0.00,0.00,0.00,0.00,10.29,0.07,0
L,40,80.00,61.50,10.00,10.06,0,0.07,0.07,0.07,0.07,15.00,0.00,0
S,40,57.00,11.50,10.10,10.23,1,0.00,0.00,0.00,0.00,10.10,0.07,0
L,40,80.00,61.50,10.00,9.54,0,0.07,0.07,0.08,0.07,15.00,0.00,0
