Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,42,52.20,58.70,20.00,20.19,-0.01,0.00,580.45,-107.88,0.04,15.00,0.00,0
S,41,57.20,13.90,0.00,0.00,0.00,30.00,65.85,1.82,0.00,0.00,0.04,0
L,41,52.70,58.70,20.00,19.40,-0.01,0.00,600.14,-98.84,0.04,15.00,0.00,0
S,42,58.30,13.90,0.00,0.00,0.00,30.00,65.85,0.41,0.00,0.00,0.04,0
L,42,53.10,58.70,20.00,20.78,-0.02,0.00,567.33,-76.66,0.04,15.00,0.00,0
S,42,59.10,13.90,0.00,0.00,0.00,30.00,65.85,2.95,0.00,0.00,0.04,0
L,40,53.30,58.70,20.00,20.44,-0.01,0.00,571.79,-100.10,0.04,15.00,0.00,0
S,41,56.70,13.90,0.00,0.00,0.00,30.00,65.85,2.43,0.00,0.00,0.04,0
L,41,54.40,58.70,20.00,19.34,-0.01,0.00,598.00,-88.36,0.04,15.00,0.00,0
S,42,58.50,13.90,0.00,0.00,0.00,30.00,65.85,-1.71,0.00,0.00,0.04,0
L,42,53.90,58.70,20.00,19.88,-0.01,0.00,587.63,-89.45,0.04,15.00,0.00,0
S,42,58.10,13.90,0.00,0.00,0.00,30.00,65.85,1.63,0.00,0.00,0.04,0
L,41,54.00,58.70,20.00,19.46,-0.01,0.00,599.35,-85.92,0.04,15.00,0.00,0
S,42,56.70,13.90,0.00,0.00,0.00,30.00,65.85,-0.63,0.00,0.00,0.04,0
L,42,56.90,58.70,20.00,20.32,-0.01,0.00,579.96,-83.35,0.04,15.00,0.00,0
S,42,59.40,13.90,0.00,0.00,0.00,30.00,65.85,0.89,0.00,0.00,0.04,0
L,40,58.30,58.70,20.00,19.64,-0.01,0.00,596.03,-89.74,0.04,15.00,0.00,0
S,42,57.50,13.90,0.00,0.00,0.00,30.00,65.85,-1.40,0.00,0.00,0.04,0
L,41,57.10,58.70,20.00,20.56,-0.00,0.00,573.98,-114.45,0.04,15.00,0.00,0
S,41,58.10,13.90,0.00,0.00,0.00,30.00,65.85,1.30,0.00,0.00,0.04,0
L,40,56.50,58.70,20.00,19.58,-0.00,0.00,596.15,-109.92,0.04,15.00,0.00,0
S,42,59.30,13.90,0.00,0.00,0.00,30.00,65.85,-2.40,0.00,0.00,0.04,0
L,42,57.10,58.70,20.00,20.54,0.00,0.00,573.37,-115.98,0.04,15.00,0.00,0
S,42,58.30,13.90,0.00,0.00,0.00,30.00,65.85,0.94,0.00,0.00,0.04,0
L,42,57.10,58.70,20.00,19.30,0.01,0.00,602.93,-131.39,0.04,15.00,0.00,0
