Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
R,40,13.70,15.00,4.34,8.10,0,0.01,0.05,0.03,0.01,9.91,0.00,1
S,40,80.00,15.00,9.03,10.03,0,0.08,0.08,0.08,0.08,9.03,0.01,0
L,40,80.00,80.00,10.00,9.91,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.60,15.00,3.77,6.45,0,0.01,0.05,0.03,0.01,9.90,0.00,1
S,40,80.00,15.00,4.06,9.75,0,0.08,0.08,0.08,0.08,4.06,0.01,0
L,40,80.00,80.00,10.00,9.95,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.10,15.00,5.66,5.34,0,0.01,0.05,0.03,0.01,9.90,0.00,1
S,40,80.00,15.00,4.06,8.98,0,0.08,0.08,0.08,0.08,4.06,0.01,0
L,40,80.00,80.00,10.00,9.99,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.40,15.00,6.79,4.77,0,0.01,0.05,0.03,0.01,9.73,0.00,1
S,40,80.00,15.00,4.06,7.79,0,0.08,0.08,0.08,0.08,4.06,0.01,0
L,40,80.00,80.00,10.00,9.90,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.20,15.00,5.89,4.93,0,0.01,0.05,0.03,0.01,9.73,0.00,1
S,40,80.00,15.00,5.44,6.59,0,0.08,0.08,0.08,0.08,5.44,0.01,0
L,40,80.00,80.00,10.00,9.92,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.60,15.00,7.45,5.37,0,0.01,0.05,0.03,0.01,9.73,0.00,1
S,40,80.00,15.00,5.44,5.67,0,0.08,0.08,0.08,0.08,5.44,0.01,0
L,40,80.00,80.00,10.00,9.96,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.50,15.00,6.99,5.97,0,0.01,0.05,0.03,0.01,9.94,0.00,1
S,40,80.00,15.00,6.12,5.27,0,0.08,0.08,0.08,0.08,6.12,0.01,0
L,40,80.00,80.00,10.00,10.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
