Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
S,40,16.10,14.30,19.82,21.43,1,0.00,0.00,0.00,0.00,19.82,0.03,0
L,40,48.80,59.10,20.00,20.00,1,0.01,0.03,0.00,0.03,15.00,0.00,0
S,41,16.20,14.30,19.82,22.21,1,0.00,0.00,0.00,0.00,19.82,0.03,0
L,40,47.30,59.10,20.00,19.80,1,0.01,0.03,0.00,0.03,15.00,0.00,0
S,40,16.30,14.30,19.85,21.55,1,0.00,0.00,0.00,0.00,19.85,0.03,0
L,40,45.90,59.10,20.00,19.78,1,0.01,0.03,0.05,0.05,15.00,0.00,0
S,40,16.50,14.30,19.85,20.85,1,0.00,0.00,0.00,0.00,19.85,0.03,0
L,40,45.50,59.10,20.00,19.94,1,0.01,0.03,0.05,0.05,15.00,0.00,0
S,40,16.80,14.30,19.60,20.76,1,0.00,0.00,0.00,0.00,19.60,0.05,0
L,40,45.30,59.10,20.00,19.91,1,0.01,0.03,0.05,0.05,15.00,0.00,0
S,40,16.70,14.30,19.60,20.57,1,0.00,0.00,0.00,0.00,19.60,0.05,0
L,40,48.50,59.10,20.00,19.23,1,0.01,0.03,0.05,0.05,15.00,0.00,0
S,40,17.30,14.30,20.21,20.33,1,0.00,0.00,0.00,0.00,20.21,0.05,0
L,40,50.90,59.10,20.00,20.61,1,0.01,0.03,0.05,0.05,15.00,0.00,0
S,40,17.80,14.30,20.21,20.30,1,0.00,0.00,0.00,0.00,20.21,0.05,0
L,40,54.70,59.10,20.00,20.04,0,0.07,0.03,0.05,0.03,15.00,0.00,0
S,40,18.60,14.30,20.21,21.07,1,0.00,0.00,0.00,0.00,20.21,0.05,0
L,40,55.40,59.10,20.00,20.03,0,0.07,0.03,0.05,0.03,15.00,0.00,0
S,40,21.50,14.30,20.03,20.84,1,0.00,0.00,0.00,0.00,20.03,0.03,0
L,40,56.80,59.10,20.00,20.26,0,0.07,0.03,0.05,0.03,15.00,0.00,0
S,40,23.50,14.30,20.03,18.81,1,0.00,0.00,0.00,0.00,20.03,0.03,0
L,40,60.70,59.10,20.00,20.24,0,0.07,0.03,0.05,0.03,15.00,0.00,0
S,40,27.40,14.30,19.83,20.80,1,0.00,0.00,0.00,0.00,19.83,0.03,0
L,40,66.10,59.10,20.00,19.73,0,0.07,0.07,0.05,0.05,15.00,0.00,0
S,40,38.20,14.30,19.83,20.52,1,0.00,0.00,0.00,0.00,19.83,0.03,0
L,40,68.50,59.10,20.00,19.81,0,0.07,0.07,0.05,0.05,15.00,0.00,0
S,40,46.10,14.30,19.83,19.62,1,0.00,0.00,0.00,0.00,19.83,0.03,0
L,40,74.10,59.10,20.00,19.77,0,0.07,0.07,0.05,0.05,15.00,0.00,0
S,40,50.70,14.30,19.77,20.21,1,0.00,0.00,0.00,0.00,19.77,0.05,0
L,40,75.90,59.10,20.00,19.80,0,0.07,0.07,0.05,0.05,15.00,0.00,0
S,40,57.60,14.30,19.77,19.66,1,0.00,0.00,0.00,0.00,19.77,0.05,0
L,40,79.20,59.10,20.00,19.80,0,0.07,0.07,0.07,0.07,15.00,0.00,0
S,40,58.10,14.30,19.78,19.91,1,0.00,0.00,0.00,0.00,19.78,0.07,0
L,40,79.50,59.10,20.00,19.82,0,0.07,0.07,0.07,0.07,15.00,0.00,0
S,40,58.10,14.30,19.78,20.19,1,0.00,0.00,0.00,0.00,19.78,0.07,0
L,40,80.00,59.10,20.00,19.89,0,0.07,0.07,0.07,0.07,15.00,0.00,0
S,40,57.50,14.30,19.78,20.14,1,0.00,0.00,0.00,0.00,19.78,0.07,0
L,40,79.70,59.10,20.00,19.93,0,0.07,0.07,0.07,0.07,15.00,0.00,0
S,40,55.50,14.30,19.95,19.93,1,0.00,0.00,0.00,0.00,19.95,0.07,0
L,40,79.40,59.10,20.00,19.83,0,0.07,0.07,0.07,0.07,15.00,0.00,0
S,40,55.90,14.30,19.95,19.75,1,0.00,0.00,0.00,0.00,19.95,0.07,0
L,40,78.60,59.10,20.00,19.93,0,0.08,0.07,0.07,0.07,15.00,0.00,0
S,40,55.50,14.30,19.96,19.68,1,0.00,0.00,0.00,0.00,19.96,0.07,0
