Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
S,40,10.10,10.00,18.08,17.62,-0.07,18.08,554.82,23.43,0.08,17.01,0.01,0
O,40,9.60,10.00,14.68,14.73,-0.02,14.68,467.25,-33.58,0.08,16.03,0.00,0
L,40,3.00,49.00,15.00,14.86,0.00,0.00,475.05,-5.51,0.00,15.00,0.00,1
R,40,10.10,10.00,16.06,16.81,-0.00,16.06,535.40,-0.93,0.01,14.81,0.00,1
T,40,50.10,10.00,18.11,16.87,0.17,18.11,589.32,-526.22,0.00,18.11,0.08,0
O,40,10.10,10.00,14.68,14.54,-0.02,14.68,471.76,-24.02,0.08,16.03,0.00,0
S,40,9.70,10.00,18.08,17.87,-0.07,18.08,550.94,-23.03,0.08,17.01,0.01,0
L,40,4.20,49.00,15.00,14.89,0.01,0.00,475.23,-7.33,0.00,15.00,0.00,1
R,40,9.90,10.00,15.24,16.44,-0.00,15.24,519.44,1.27,0.01,14.81,0.00,1
T,40,49.40,10.00,18.11,17.02,0.13,18.11,592.53,-272.71,0.00,18.11,0.08,0
O,40,10.20,10.00,14.68,14.59,-0.07,14.68,471.24,138.19,0.08,17.24,0.00,0
S,40,9.80,10.00,18.08,18.13,-0.07,18.08,545.36,-11.41,0.08,16.90,0.01,0
L,40,3.70,49.00,15.00,14.59,0.01,0.00,483.70,-16.38,0.00,15.00,0.00,1
R,40,9.90,10.00,15.23,16.12,-0.00,15.23,520.62,0.61,0.01,14.81,0.00,1
S,40,9.80,10.00,18.08,17.83,-0.07,18.08,552.91,-1.97,0.08,16.90,0.01,0
T,40,48.80,10.00,17.81,18.11,0.08,17.81,562.56,-151.25,0.00,17.81,0.08,0
O,40,10.20,10.00,14.68,14.50,-0.02,14.68,474.20,-77.53,0.03,17.24,0.00,0
L,40,3.60,49.00,15.00,14.80,0.01,0.00,480.45,-9.16,0.00,15.00,0.00,1
R,40,10.10,10.00,16.04,15.94,-0.01,16.04,541.22,9.61,0.00,14.85,0.00,1
T,40,49.30,10.00,17.81,17.29,0.03,17.81,582.21,-66.26,0.01,17.81,0.08,0
S,40,9.20,10.00,18.08,17.79,-0.07,18.08,555.35,7.14,0.08,16.90,0.01,0
O,40,10.40,10.00,14.68,14.47,-0.02,14.68,476.12,-33.95,0.03,17.59,0.01,0
L,40,3.90,49.00,15.00,15.59,0.00,0.00,460.98,6.33,0.00,15.00,0.00,1
R,40,9.80,10.00,14.82,15.76,-0.01,14.82,514.63,11.22,0.00,14.85,0.00,1
T,40,49.50,10.00,17.81,18.57,0.03,17.81,551.87,-141.79,0.01,17.81,0.08,0
S,40,9.50,10.00,18.08,17.92,-0.07,18.08,553.76,20.58,0.05,15.69,0.00,0
O,40,10.40,10.00,14.68,14.47,-0.02,14.68,477.16,-5.75,0.03,17.59,0.01,0
L,40,2.30,49.00,15.00,15.19,0.00,0.00,468.07,-9.22,0.00,15.00,0.00,1
R,40,9.80,10.00,14.80,15.73,-0.01,14.80,509.38,8.17,0.00,15.00,0.00,1
T,40,49.90,10.00,18.01,18.22,0.07,18.01,561.68,-313.50,0.01,18.01,0.05,0
O,40,10.30,10.00,14.68,14.51,-0.02,14.68,477.51,-9.66,0.03,17.59,0.01,0
S,40,9.50,10.00,18.08,18.00,-0.07,18.08,552.61,16.72,0.05,15.69,0.00,0
L,40,2.90,49.00,15.00,15.22,0.00,0.00,466.16,-11.69,0.00,15.00,0.00,1
R,40,9.90,10.00,15.18,15.54,-0.00,15.18,518.92,4.01,0.00,15.00,0.00,1
T,40,49.30,10.00,18.01,17.93,0.08,18.01,568.14,-290.01,0.01,18.01,0.05,0
S,40,9.20,10.00,18.08,17.96,-0.06,18.08,554.04,19.80,0.05,15.24,0.00,0
O,40,10.80,10.00,14.68,14.65,-0.02,14.68,474.84,-2.84,0.03,17.91,0.01,0
L,40,3.90,49.00,15.00,14.86,0.00,0.00,474.40,2.43,0.00,15.00,0.00,1
R,40,9.60,10.00,13.94,15.40,-0.00,13.94,487.92,6.58,0.00,14.88,0.00,1
T,40,49.80,10.00,18.38,17.51,0.09,18.38,589.22,-326.16,0.01,18.38,0.05,0
S,40,9.10,10.00,18.08,18.04,-0.06,18.08,552.68,37.02,0.04,15.24,0.00,0
O,40,10.90,10.00,14.68,14.56,-0.02,14.68,477.35,7.27,0.03,17.91,0.01,0
L,40,2.90,49.00,15.00,14.87,-0.00,0.00,474.80,8.12,0.00,15.00,0.00,1
R,40,9.90,10.00,15.12,15.15,-0.00,15.12,516.99,7.52,0.00,14.88,0.00,1
T,40,49.40,10.00,18.38,17.60,0.09,18.38,591.84,-308.46,0.01,18.38,0.05,0
S,40,8.60,10.00,15.24,17.99,-0.02,15.24,480.16,-117.92,0.04,15.24,0.00,0
O,40,10.80,10.00,14.68,14.59,-0.02,14.68,477.13,-7.16,0.03,17.91,0.01,0
L,40,3.50,49.00,15.00,14.72,-0.01,0.00,479.39,23.51,0.00,15.00,0.00,1
R,40,9.90,10.00,15.11,14.21,-0.00,15.11,541.13,6.73,0.00,14.88,0.00,1
T,40,50.60,10.00,18.38,18.18,0.08,18.38,581.22,-297.77,0.01,18.38,0.05,0
S,40,9.00,10.00,15.57,17.85,-0.02,15.57,476.49,-52.57,0.04,15.57,0.00,0
O,40,11.00,10.00,14.68,14.55,-0.02,14.68,478.90,-5.53,0.03,17.93,0.01,0
L,40,3.20,49.00,15.00,14.84,-0.01,0.00,478.12,28.55,0.00,15.00,0.00,1
R,40,10.00,10.00,15.51,14.62,-0.00,15.51,546.03,8.84,0.00,14.72,0.00,1
T,40,50.20,10.00,16.81,18.15,0.06,16.81,542.32,-282.76,0.01,16.81,0.04,0
S,40,8.80,10.00,15.57,17.34,-0.06,15.57,476.55,118.03,0.04,15.57,0.00,0
O,40,11.30,10.00,17.93,14.53,-0.02,17.93,564.95,8.38,0.03,17.93,0.01,0
L,40,3.50,49.00,15.00,14.90,-0.01,0.00,477.39,24.55,0.00,15.00,0.00,1
